,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Polarity,Subjectivity,Sentiment,cleaned_tweets
0,1463962808899579906,1463962808899579906,1637870907000.0,2021-11-25 15:08:27,-0500,,georgia prosecutor seek deathpenalty racial hate crime compare heinousness murder robbery go raycromartie ’s case committed execute,en,"['georgia', 'deathpenalty', 'raycromartie']",[],2859022449,2859022449,RDunhamDPIC,Robert Dunham,4,15,https://twitter.com/RDunhamDPIC/status/1463962808899579906,['https://deathpenaltyinfo.org/news/georgia-prisoner-says-he-is-not-the-shooter-seeks-stay-of-execution-to-permit-dna-testing'],[],0,,False,3,0,2,https://twitter.com/rdunhamdpic/status/1463961181346050051,None,,,,,,,[],,,,,-0.8,0.9,negative,georgia prosecutor seek deathpenalty racial hate crime compare heinousness murder robbery go raycromartie ’s case committed execute
1,1463959570301296645,1463959570301296645,1637870135000.0,2021-11-25 14:55:35,-0500,,georgia prosecutor seek deathpenalty case defendant sentence life without parole,en,"['georgia', 'deathpenalty']",[],2859022449,2859022449,RDunhamDPIC,Robert Dunham,4,14,https://twitter.com/RDunhamDPIC/status/1463959570301296645,[],[],0,,False,11,0,0,https://twitter.com/rdunhamdpic/status/1463959003281641480,None,,,,,,,[],,,,,0.0,0.0,neutral,georgia prosecutor seek deathpenalty case defendant sentence life without parole
2,1463957379494690819,1463957379494690819,1637869612000.0,2021-11-25 14:46:52,-0500,,thanksgive story condemn death story jamesdaily innocent veteran florida death sentence dalesrecinella deathpenalty,en,"['jamesdaily', 'florida', 'dalesrecinella', 'deathpenalty']",[],2859022449,2859022449,RDunhamDPIC,Robert Dunham,4,14,https://twitter.com/RDunhamDPIC/status/1463957379494690819,['https://www.vaticannews.va/en/world/news/2021-11/a-veteran-condemned-to-death-the-story-of-james-daily.html'],[],0,,False,7,1,6,,None,,,,,,,[],,,,,0.25,0.35,positive,thanksgive story condemn death story jamesdaily innocent veteran florida death sentence dalesrecinella deathpenalty
3,1463955798342647819,1463955798342647819,1637869235000.0,2021-11-25 14:40:35,-0500,,pervispayne ecstatic take death sister say tennessee deathpenalty,en,"['pervispayne', 'tennessee', 'deathpenalty']",[],2859022449,2859022449,RDunhamDPIC,Robert Dunham,4,14,https://twitter.com/RDunhamDPIC/status/1463955798342647819,['https://www.newsweek.com/pervis-payne-death-row-sentence-sister-tennessee-1653329'],[],0,,False,6,0,2,,None,,,,,,,[],,,,,0.0,0.0,neutral,pervispayne ecstatic take death sister say tennessee deathpenalty
4,1463955412307296262,1463955412307296262,1637869143000.0,2021-11-25 14:39:03,-0500,,really care want would know send earth say teach know jesus wrongfully convict murder state remember without cast stone deathpenalty,en,['deathpenalty'],[],1447048938687762434,1447048938687762434,icelady1392us11,icelady1392us1392,4,14,https://twitter.com/icelady1392us11/status/1463955412307296262,[],[],0,,False,0,0,0,https://twitter.com/KarineOmry/status/1463951485344133127,None,,,,,,,[],,,,,0.2,0.2,positive,really care want would know send earth say teach know jesus wrongfully convict murder state remember without cast stone deathpenalty
5,1463916635748765713,1463916635748765713,1637859898000.0,2021-11-25 12:04:58,-0500,,givingtuesday need special support fight justice help stopexecution favorite organization need support every pick support deathpenalty action,en,"['givingtuesday', 'justice', 'stopexecutions', 'deathpenalty']",[],837737528291647488,837737528291647488,DeathPenaltyAct,Death Penalty Action,4,12,https://twitter.com/DeathPenaltyAct/status/1463916635748765713,['https://secure.actblue.com/donate/dpaactionnov21'],[],0,,False,6,0,4,,None,,,,,,,[],,,,,0.3190476190476191,0.5571428571428572,positive,givingtuesday need special support fight justice help stopexecution favorite organization need support every pick support deathpenalty action
6,1463914640077950987,1463914640077950987,1637859423000.0,2021-11-25 11:57:03,-0500,,urge member congress join effort pass abolish federal military deathpenalty stopexecution abolishthedeathpenalty,en,"['deathpenalty', 'stopexecutions', 'abolishthedeathpenalty']",[],837737528291647488,837737528291647488,DeathPenaltyAct,Death Penalty Action,4,11,https://twitter.com/DeathPenaltyAct/status/1463914640077950987,['https://actionnetwork.org/letters/congress-abolish-the-federal-military-death-penalty'],[],0,,False,4,0,2,,None,,,,,,,[],,,,,-0.1,0.1,negative,urge member congress join effort pass abolish federal military deathpenalty stopexecution abolishthedeathpenalty
7,1463914501045202948,1463914501045202948,1637859389000.0,2021-11-25 11:56:29,-0500,,urge biden commute remain federal death sentence work congress pass federal deathpenalty prohibition stopexecution abolishthedeathpenalty,en,"['biden', 'deathpenalty', 'stopexecutions', 'abolishthedeathpenalty']",[],837737528291647488,837737528291647488,DeathPenaltyAct,Death Penalty Action,4,11,https://twitter.com/DeathPenaltyAct/status/1463914501045202948,['https://actionnetwork.org/petitions/biden-demolish-the-death-chamber'],[],0,,False,11,0,3,,None,,,,,,,[],,,,,0.0,0.0,neutral,urge biden commute remain federal death sentence work congress pass federal deathpenalty prohibition stopexecution abolishthedeathpenalty
8,1463914343733641217,1463914343733641217,1637859352000.0,2021-11-25 11:55:52,-0500,,give biden need abolishanddemolish deathpenalty urge member congress join effort pass federal military death penalty stopexecution abolishthedeathpenalty,en,"['biden', 'abolishanddemolish', 'deathpenalty', 'stopexecutions', 'abolishthedeathpenalty']",[],837737528291647488,837737528291647488,DeathPenaltyAct,Death Penalty Action,4,11,https://twitter.com/DeathPenaltyAct/status/1463914343733641217,['https://actionnetwork.org/letters/congress-abolish-the-federal-military-death-penalty'],[],0,,False,2,0,2,,None,,,,,,,[],,,,,-0.1,0.1,negative,give biden need abolishanddemolish deathpenalty urge member congress join effort pass federal military death penalty stopexecution abolishthedeathpenalty
9,1463900492027895812,1463888687150899207,1637856049000.0,2021-11-25 11:00:49,-0500,,humanright public chamber partner directory council sydney elland goldsmith award outstanding contribution bono work challenge deathpenalty caribbean africa answer,en,"['humanrights', 'deathpenalty']",[],858786082971955202,858786082971955202,JimCforEU,JimCforEU #FBPA #DitchJohnson #DitchBrexit,4,11,https://twitter.com/JimCforEU/status/1463900492027895812,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'NuitsdeY', 'name': 'Dr Nuits deYoung #RejoinEU #3.5% 🇪🇺🕊️🐦🦇🐟', 'id': '1132686851100299264'}, {'screen_name': 'Keir_Starmer', 'name': 'Keir Starmer', 'id': '2425571623'}]",,,,,0.25,0.4708333333333333,positive,humanright public chamber partner directory council sydney elland goldsmith award outstanding contribution bono work challenge deathpenalty caribbean africa answer
